ID,LABEL en,LABEL,SYNONYMS,DEFINITION,BIBLIOGRAPHY
1,Aromatic amulet,Amuleto aromatico,,,
2,Bao,,,,
3,Bath,Bagno,,,
4,Jewelry,Gioielleria,,,
5,(Beached) Whale,Balena,,,
6,<Boldootwagen>,,,,
7,Betrothal Ring,Anello di fidanzamento,,,
8,Bonfire,Falò,,,
9,Burnt offering,Sacrificio,Olocausto,,
10,Alchemy Equipment,Attrezzatura alchemica,,,
11,Apothecary Equipment,Attrezzatura da farmacia,Attrezzatura da speziale,,
12,Anatomical Lessons,Lezioni di Anatomia,,,
13,Animal,Animale,,,
14,Beaver,Castoro,,,
15,Beer,Birra,,,
16,Besamim,,,,
17,Blood,Sangue,,,
18,Bouquet,Bouquet,Mazzo,,
19,Bouquet Holder,Porta bouquet,Base per bouquet,,
20,Bracelet vinaigrette,Braccialetto vinaigrette,,,
21,Bread,Pane,,,
22,Butter,Burro,,,
23,Cadaver,Cadavere,"Salma, corpo morto",,
24,Camphor (tree),Canforo,Albero della canfora,,
25,Candle,Candela,,,
26,Canal,Canale,,,
27,Carnation,Garofano,,,
28,Cassolette,,,,
29,Censer,Incensiere,Turibolo,,
30,Chatelaine (chain),,,,
31,Chatelaine flask,Bottiglia Chatelaine,Fiaschetta Chatelaine,,
32,Cheese,Formaggio,,,
33,Chemical Substance,Sostanza chimica,,,
34,Chimney,Comignolo,"Ciminiera, Camino",,
35,Chocolate (solid),Cioccolato (tavoletta),Cioccolato,,
36,Chocolate,Cioccolata,"Cacao, Cioccolato",,
37,Chypre,Chypre,Cipriato (profumo),,
38,Ciborium,Pisside,,,
39,Cigar,Sigaro,,,
40,Cigar-box,Scatola per sigari,Scatola di sigari,,
41,Cigar-case,Astuccio per sigari,,,
42,Cigar-holder,Portasigari,,,
43,Cigarette,Sigaretta,,,
44,Civet ,Zibetto,,,
45,Civet (mammal) ,Viverra,Zibetto (animale),,
46,Cloud,Nuvola,,,
47,Coal,Carbone,,,
48,Geosmin,Geosmina,,,
49,perfumed brooch,Spilla,,,
50,Coffee,Caffé,,,
51,(perfumed) head cone,Cono (profumato),,,
52,Cuir de Russie,Cuir de Russie,,,
53,Diaper,Pannolino,,,
54,Distillation equipment,Attrezzatura di distillazione,Attrezzatura per la distillazione,,
55,Dog,Cane,,,
56,Dragon,Drago,,,
57,Drainage pipe,Drenaggio del tubo,,,
58,Eau de cologne,Acqua di colonia,,,
59,Eau de Hungary,,,,
60,Eau de Luce,,,,
61,Elm tree,Olmo,,,
62,Essential oil,Olio essenziale,,,
63,Hand Fan,Ventaglio,Rosta,,
64,Feather,Piuma,,,
65,Perfume,Profumo,,,
66,Fire,Fuoco,,,
67,Fireplace,Camino,Caminetto,,
68,Fish,Pesce,,,
69,Flacon,Flacone,,,
70,Flacon ring,,,,
71,Floral water,Acqua floreale,Idrosoli,,
72,Flower,Fiore,,,
73,Flower in hair,Fiore tra i capelli,,,
74,Oakmoss,Muschio di quercia,,,
75,Fruit,Frutto,Frutta,,
76,Fur,Pelliccia,Pelo,,
77,Waste,Rifiuti,"Spazzatura, Immondizia, Ciarpame, Pattume",,
78,Garden,Giardino,,,
79,Garlic,Aglio,,,
80,(leather) Gloves,Guanti,,,
81,Grass,Erba (Graminacee),Prato,,
82,Garland,Ghirlanda,,,
83,Gun,Pistola,,,
84,Gyroscope pomander,Giroscopio Pomo d'ambra,,,
85,Accessory,Accessorio,,,
86,(scented) Handkerchief,Fazzoletto,,,
87,Hay,Fieno,,,
88,Herb,Erba,,,
89,Incense Burner,Bruciatore d'incenso,Portaincensi,,
90,Inro,,,,
91,Columbine,Aquilegia,,,
92,Lily,Giglio,,,
93,Laurel Wreath,Corona di alloro,Couronne de lauriers,,
94,Leather Tapestry,Rivestimento in pelle,,,
95,Linen,Lino,,,
96,Linen cabinet,Armadio,,,
97,<Lodereindoos>,,,,
98,Manure,Letame,,,
99,Medicine Jar,Flacone medicinale,,,
100,Mouth wash,Colluttorio,,,
101,Musk Deer,Cervo muschiato,,,
102,Musk Rat,Topo muschiato,,,
103,Myrrh,Mirra,,,
104,Anemone,Anemone,,,
105,Heliotrope,Heliotropium,,,
106,Nutmeg grater,Grattugia noce moscata,,,
107,<odor di femmina>,Odor di femmina,,,
108,Odor of sanctity,Odor di santità,,,
109,Oil,Olio,,,
110,Onion,Cipolla,,,
111,Ointment jar,Vasetto di unguento,,,
112,Pastry,Pasticcino,Pasticceria,,
113,Peau d'Espagne,,,,
114,Peltas,,,,
115,Pendant flacon,Pendente flacone,,,
116,Perfume bottle,Bottiglia di profumo,,,
117,Perfume box,Scatola di profumo,,,
118,Perfume button,Bottone di profumo,,,
119,Perfume Equipment,Attrezzatura per profumi,,,
120,Perfume flacon,Boccetta di profumo,Flacone di profumo,,
121,Perfume ring,Anello da profumo,,,
122,Pipe,Tubo,Tubatura,,
123,Plague mask,Maschera della peste,,,
124,Plumbing Trap,Trappola idraulica,,,
125,Pomander,Pomo d'ambra,,,
126,Water,Acqua,,,
127,Pomander ship,Nave pomo d'ambra,,,
128,Pomander Watch,Orologio pomo d'ambra,,,
129,Posy holder,,,,
130,Potpourri (Bowl),Ciotola di potpourri,,,
131,Pouncet Box,,,,
132,Powder Box,Porta-cipria,Scatola per cipria,,
133,Powdered Wig,Parrucca incipriata,,,
134,Privy,Latrina,Gabinetto,,
